city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
canete,cl,2017-09-08 13:40:55,-73.4,-37.8,45.18,74.0,48.0,5.19
cantanhede,br,2017-09-08 13:40:55,-44.38,-3.63,86.4,68.0,80.0,3.06
cape town,za,2017-09-08 13:00:00,18.42,-33.93,51.8,93.0,0.0,2.24
carauari,br,2017-09-08 13:40:56,-66.9,-4.88,92.88,50.0,8.0,4.63
caravelas,br,2017-09-08 13:40:56,-39.25,-17.71,73.17,100.0,24.0,14.92
carnarvon,au,2017-09-08 13:40:56,113.63,-24.87,60.75,100.0,0.0,0.6
casablanca,ma,2017-09-08 13:00:00,-7.62,33.59,73.4,88.0,75.0,6.93
castro,cl,2017-09-08 13:40:57,-73.77,-42.47,43.29,100.0,48.0,2.73
catamarca,ar,2017-09-08 13:40:57,-65.79,-28.47,67.59,39.0,0.0,1.72
cayenne,gf,2017-09-08 13:00:00,-52.33,4.93,86.0,66.0,0.0,16.11
celendin,pe,2017-09-08 13:00:00,-78.15,-6.87,71.6,40.0,40.0,6.93
cestas,fr,2017-09-08 13:30:00,-0.68,44.74,66.2,72.0,0.0,8.05
chakia,in,2017-09-08 13:40:59,85.05,26.42,75.15,97.0,12.0,3.06
chala,tz,2017-09-08 13:40:59,31.27,-7.58,58.32,51.0,0.0,6.2
chapais,ca,2017-09-08 13:00:00,-74.85,49.78,53.6,62.0,90.0,10.29
chicama,pe,2017-09-08 13:00:00,-79.15,-7.84,68.0,72.0,0.0,13.87
chililabombwe,zm,2017-09-08 13:41:00,27.82,-12.36,58.68,50.0,0.0,7.43
chiredzi,zw,2017-09-08 13:41:00,31.67,-21.05,72.09,53.0,0.0,10.78
chlorakas,cy,2017-09-08 13:30:00,32.41,34.8,77.0,64.0,0.0,4.7
chuy,uy,2017-09-08 13:41:01,-53.46,-33.7,64.35,94.0,92.0,7.65
cidreira,br,2017-09-08 13:41:01,-50.21,-30.18,74.07,74.0,88.0,3.85
ciudad bolivar,ve,2017-09-08 13:41:01,-63.55,8.12,79.11,98.0,76.0,3.18
clonakilty,ie,2017-09-08 13:30:00,-8.87,51.62,51.8,87.0,40.0,14.99
clyde river,ca,2017-09-08 13:00:00,-68.59,70.47,39.2,60.0,75.0,18.34
coari,br,2017-09-08 13:41:02,-63.14,-4.08,88.83,76.0,8.0,5.97
codrington,ag,2017-09-08 13:20:00,-2.42,51.5,57.2,87.0,0.0,9.17
coihaique,cl,2017-09-08 13:00:00,-72.07,-45.58,46.4,42.0,40.0,9.17
colares,pt,2017-09-08 13:00:00,-9.45,38.8,66.2,82.0,20.0,16.11
conceicao do araguaia,br,2017-09-08 13:41:03,-49.26,-8.26,93.78,29.0,100.0,5.19
conde,br,2017-09-08 13:00:00,-34.91,-7.26,78.8,74.0,40.0,13.87
constitucion,cl,2017-09-08 13:41:04,-72.42,-35.33,51.93,97.0,80.0,12.24
contamana,pe,2017-09-08 13:41:04,-75.02,-7.33,95.76,35.0,8.0,2.73
coquimbo,cl,2017-09-08 13:00:00,-71.34,-29.95,59.0,51.0,40.0,11.41
cururupu,br,2017-09-08 13:41:05,-44.87,-1.83,83.25,68.0,32.0,10.22
de aar,za,2017-09-08 13:41:05,24.01,-30.65,48.78,39.0,0.0,2.51
deer lake,ca,2017-09-08 13:00:00,-57.43,49.17,66.2,68.0,75.0,17.22
destin,us,2017-09-08 12:56:00,-86.5,30.39,87.8,51.0,90.0,10.29
diego de almagro,cl,2017-09-08 13:41:06,-70.05,-26.37,61.02,73.0,0.0,3.62
dikson,ru,2017-09-08 13:41:06,80.55,73.51,38.88,100.0,32.0,21.74
dingle,ie,2017-09-08 13:41:06,-10.27,52.14,56.25,100.0,88.0,25.1
dolbeau,ca,2017-09-08 13:00:00,-72.21,48.88,59.0,82.0,75.0,11.41
dori,bf,2017-09-08 13:41:07,-0.03,14.04,80.46,78.0,32.0,7.99
dunda,tz,2017-09-08 13:41:07,34.25,-8.12,66.78,65.0,20.0,9.89
dwarka,in,2017-09-08 13:41:07,68.97,22.24,78.84,100.0,32.0,8.43
dzaoudzi,yt,2017-09-08 13:00:00,45.27,-12.79,73.4,83.0,0.0,3.36
east london,za,2017-09-08 13:00:00,27.91,-33.02,64.4,72.0,40.0,8.05
edd,er,2017-09-08 13:41:08,41.69,13.93,76.59,44.0,44.0,2.39
el badari,eg,2017-09-08 13:00:00,31.42,26.99,80.6,47.0,0.0,4.7
eregli,tr,2017-09-08 13:41:09,34.05,37.51,52.11,73.0,0.0,2.17
eskasem,af,2017-09-08 13:41:09,71.61,36.72,31.5,98.0,0.0,1.05
esna,eg,2017-09-08 13:41:10,25.89,59.04,49.14,96.0,56.0,6.2
faya,td,2017-09-08 13:41:10,19.1,17.93,82.98,18.0,0.0,8.43
filadelfia,py,2017-09-08 13:41:10,-60.03,-22.35,90.45,34.0,92.0,15.7
florianopolis,br,2017-09-08 13:00:00,-48.55,-27.6,71.6,64.0,0.0,13.87
frutal,br,2017-09-08 13:41:11,-48.94,-20.02,86.31,24.0,0.0,3.18
fuerte olimpo,py,2017-09-08 13:41:11,-57.87,-21.04,93.69,27.0,36.0,11.68
gamarra,co,2017-09-08 13:41:11,-73.74,8.32,77.85,89.0,92.0,3.18
gamba,ga,2017-09-08 13:41:12,10.0,-2.65,74.43,82.0,12.0,7.54
garissa,ke,2017-09-08 13:41:12,39.64,-0.45,76.05,70.0,32.0,13.02
gashua,ng,2017-09-08 13:41:12,11.05,12.87,78.39,77.0,0.0,6.98
gat,ly,2017-09-08 13:20:00,24.76,60.15,51.8,87.0,75.0,8.05
gazli,uz,2017-09-08 13:41:13,63.45,40.13,71.82,35.0,0.0,5.53
general elizardo aquino,py,2017-09-08 13:41:13,-56.7,-24.43,88.65,34.0,76.0,6.76
georgetown,sh,2017-09-08 13:41:13,-14.42,-7.93,74.97,100.0,44.0,19.06
georgetown,gy,2017-09-08 13:00:00,-58.16,6.8,89.6,66.0,40.0,9.17
geraldton,au,2017-09-08 13:00:00,114.6,-28.77,57.2,100.0,90.0,9.17
ghanzi,bw,2017-09-08 13:41:14,21.78,-21.57,64.35,27.0,0.0,7.99
gizycko,pl,2017-09-08 13:41:14,21.76,54.04,57.33,87.0,80.0,11.9
gobabis,na,2017-09-08 13:00:00,18.97,-22.45,78.8,16.0,48.0,4.7
goderich,sl,2017-09-08 13:00:00,-13.29,8.43,80.6,78.0,90.0,9.17
goma,cd,2017-09-08 13:41:15,29.22,-1.68,58.86,100.0,64.0,2.17
gore,et,2017-09-08 13:41:16,35.53,8.15,61.38,94.0,68.0,3.18
grahamstown,za,2017-09-08 13:41:16,26.53,-33.3,51.03,80.0,12.0,3.06
grand gaube,mu,2017-09-08 13:00:00,57.66,-20.01,73.4,69.0,75.0,14.99
grand river south east,mu,2017-09-08 13:00:00,57.78,-20.29,73.4,69.0,75.0,14.99
grand-santi,gf,2017-09-08 13:41:17,-54.38,4.25,96.03,29.0,12.0,4.18
grindavik,is,2017-09-08 13:00:00,-22.43,63.84,51.8,81.0,20.0,9.17
groningen,sr,2017-09-08 13:00:00,-55.47,5.8,93.2,49.0,20.0,11.41
grootfontein,na,2017-09-08 13:41:18,18.12,-19.57,61.11,41.0,0.0,5.3
guane,cu,2017-09-08 13:41:18,-84.09,22.2,83.43,89.0,32.0,3.18
guarapari,br,2017-09-08 13:00:00,-40.5,-20.67,75.2,73.0,0.0,8.05
gweta,bw,2017-09-08 13:41:19,25.23,-20.18,63.99,52.0,0.0,2.62
halifax,ca,2017-09-08 13:40:47,-63.57,44.65,63.45,95.0,0.0,14.92
hambantota,lk,2017-09-08 13:41:19,81.12,6.12,76.95,100.0,36.0,13.8
hamilton,bm,2017-09-08 12:55:00,-64.78,32.29,84.2,70.0,20.0,9.17
